"","source","author_id","created_at","conversation_id","lang","reply_settings","referenced_tweets","id","text","in_reply_to_user_id","retweetcount","reply_count","like_count","quote_count","clean_tweets","clean_tokens","word_count"
"11","Twitter for iPhone",1467279803979943936,2022-01-17 23:59:55,1483227614638907392,"en","everyone","[{'type': 'retweeted', 'id': '1483183551701217281'}]",1483227614638907392,"RT @bec7ford: Hunt : the peak has passed! *implied - Omicron wave is over* 

Norman Swan : it’s very wrong to assume that the peak has occu…",NA,385,0,0,0,"the peak has passed implied  omicron wave is over 

norman swan  its very wrong to assume that the peak has occu","the,peak,has,passed,implied,,omicron,wave,is,over,

norman,swan,,its,very,wrong,to,assume,that,the,peak,has,occu",23
"12","Twitter Web App",1446741670960058368,2022-01-17 23:59:55,1483227614605373440,"en","everyone","[{'type': 'retweeted', 'id': '1483127719714074627'}]",1483227614605373440,"RT @DrEliDavid: Israel 🇮🇱 study: ""4th booster not effective for Omicron""

Probably a 5th booster is needed 🤡 https://t.co/T3QQXLBAMo",NA,4371,0,0,0,"4th booster not effective for omicron

probably a 5th booster is needed 🤡 ","4th,booster,not,effective,for,omicron

probably,a,5th,booster,is,needed,🤡,",13
"13","Twitter for Android",1160369664871948288,2022-01-17 23:59:54,1483226202743906304,"en","everyone","[{'type': 'replied_to', 'id': '1483226202743906306'}]",1483227614408241152,"@nealejones Watching the MIQ system filling up with Omicron is like watching a dam filling up and it's lapping the top you just waiting for it to overflow I think 2 weeks tops imo, we should have slowed arrival's down week's ago.",22605803,3,3,16,0," watching the miq system filling up with omicron is like watching a dam filling up and its lapping the top you just waiting for it to overflow i think 2 weeks tops imo we should have slowed arrivals down weeks ago",",watching,the,miq,system,filling,up,with,omicron,is,like,watching,a,dam,filling,up,and,its,lapping,the,top,you,just,waiting,for,it,to,overflow,i,think,2,weeks,tops,imo,we,should,have,slowed,arrivals,down,weeks,ago",42
"14","Twitter Web App",42154919,2022-01-17 23:59:54,1483227613405589504,"en","everyone","[{'type': 'retweeted', 'id': '1483211396686954497'}]",1483227613405589504,"RT @acoyne: For one thing, if it was Canada Post it would still be in transit.

Canadian mail likely not source of Beijing Omicron: experts…",NA,19,0,0,0,"for one thing if it was canada post it would still be in transit

canadian mail likely not source of beijing omicron experts","for,one,thing,if,it,was,canada,post,it,would,still,be,in,transit

canadian,mail,likely,not,source,of,beijing,omicron,experts",22
"15","Twitter for iPhone",15396053,2022-01-17 23:59:54,1483149769350389760,"en","everyone","[{'type': 'replied_to', 'id': '1483218856004898818'}]",1483227612570812416,"@oldcityguardian @TheCityofSac I appreciate that very much. Really am focused on the near-term economics facing folks during omicron spike.",928019185,0,1,0,0,"  i appreciate that very much really am focused on the nearterm economics facing folks during omicron spike",",,i,appreciate,that,very,much,really,am,focused,on,the,nearterm,economics,facing,folks,during,omicron,spike",19
"16","Twitter for iPhone",1699185475,2022-01-17 23:59:54,1483227611765833728,"en","everyone","[{'type': 'retweeted', 'id': '1483210367979626497'}]",1483227611765833728,"RT @TracyWesterman: I think when you have 58 COVID deaths in one day across just 2 states, the “Omicron is mild” argument is pretty well do…",NA,1291,0,0,0,"i think when you have 58 covid deaths in one day across just 2 states the omicron is mild argument is pretty well do","i,think,when,you,have,58,covid,deaths,in,one,day,across,just,2,states,the,omicron,is,mild,argument,is,pretty,well,do",24
"17","Twitter Web App",1260140617046175744,2022-01-17 23:59:54,1483178971881562112,"en","everyone","[{'type': 'replied_to', 'id': '1483212045902544896'}]",1483227611434483712,"@PlayedByGames @samturner892 @NewshubNZ For most people the risk of all those things is tiny. Unfortunately there are some whose risk from Omicron is a lot higher than the avg person. We need to stop treating people as if they all largely have the same risk profile.",3014101080,0,0,1,0,"   for most people the risk of all those things is tiny unfortunately there are some whose risk from omicron is a lot higher than the avg person we need to stop treating people as if they all largely have the same risk profile",",,,for,most,people,the,risk,of,all,those,things,is,tiny,unfortunately,there,are,some,whose,risk,from,omicron,is,a,lot,higher,than,the,avg,person,we,need,to,stop,treating,people,as,if,they,all,largely,have,the,same,risk,profile",46
"18","Twitter for Android",1715434532,2022-01-17 23:59:53,1483227608632668160,"en","everyone",NA,1483227608632668160,"Beijing locks down office with workers still inside after single Omicron case detected

https://t.co/YUHtDadQoS",NA,0,0,0,0,"beijing locks down office with workers still inside after single omicron case detected

","beijing,locks,down,office,with,workers,still,inside,after,single,omicron,case,detected

",13
"19","Twitter Web App",203987842,2022-01-17 23:59:53,1483227607764066304,"en","everyone","[{'type': 'retweeted', 'id': '1483044009505439745'}]",1483227607764066304,"RT @BAshbyMD: Omicron exacerbates chronic illnesses such as CVD, CKD, COPD, cancer etc. In cardiology, we have seen increased heart attacks…",NA,9698,0,0,0,"omicron exacerbates chronic illnesses such as cvd ckd copd cancer etc in cardiology we have seen increased heart attacks","omicron,exacerbates,chronic,illnesses,such,as,cvd,ckd,copd,cancer,etc,in,cardiology,we,have,seen,increased,heart,attacks",19
"20","Twitter Web App",1440538267607134208,2022-01-17 23:59:53,1483227607214989312,"en","everyone","[{'type': 'retweeted', 'id': '1483124884653760513'}]",1483227607214989312,"RT @HGAQuentin: Omicron is everywhere.  It’s time for @JustinTrudeau and the @liberal_party government to drop travel testing and border no…",NA,1586,0,0,0,"omicron is everywhere  its time for  and the  government to drop travel testing and border no","omicron,is,everywhere,,its,time,for,,and,the,,government,to,drop,travel,testing,and,border,no",19
